title,website_url,location,is_online_or_hybrid,start_date,end_date,linguistic_field(s),subject_language(s),LINGUISTList_url
11th International Conference on Construction Grammar (ICCG11),https://www.uantwerpen.be/iccg11,Antwerp,False,18-Aug-2021,20-Aug-2021,Computational Linguistics; General Linguistics; Historical Linguistics; Language Acquisition; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=432876
15th Nilo-Saharan Linguistics Colloquium,https://www.ed.ac.uk/ppls/linguistics-and-english-language/events/nilo-saharan-linguistics-colloquium-2021-08-04,Nairobi (Online),True,04-Aug-2021,06-Aug-2021,Anthropological Linguistics; Applied Linguistics; General Linguistics; Genetic Classification; Language Documentation ,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=420076
16th International Conference on Role and Reference Grammar 2021 (RRG2021),https://rrg2021.apps01.yorku.ca/,"Online, Toronto, Ontario",True,04-Aug-2021,06-Aug-2021,Morphology; Pragmatics; Semantics; Syntax; Typology,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=434116
17th Workshop on Multiword Expressions (MWE 2021),https://multiword.org/mwe2021/,Bangkok (Online),True,05-Aug-2021,06-Aug-2021,Computational Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=437176
22nd Meeting of the International Circle of Korean Linguistics (ICKL2021),https://ickl.modoo.at/,"National Chengchi University, Taipei",False,16-Aug-2021,18-Aug-2021,General Linguistics,Korean,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=430736
23rd Seoul International Conference on Generative Grammar (SICOGG23),http://www.kggc.org,Online,True,11-Aug-2021,13-Aug-2021,Applied Linguistics; General Linguistics; Language Acquisition; Linguistic Theories,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444537
2nd Conference on easy-to-read language research (KLAARA 2021),http://klaara.ch,Olten,False,30-Aug-2021,31-Aug-2021,Applied Linguistics; Lexicography; Sociolinguistics; Syntax; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=428396
2nd International Workshop on Computational Approaches to Historical Language Change 2021 (ACL 2021) (LChange 2021),https://languagechange.org/events/2021-acl-lchange/,Bangkok,False,05-Aug-2021,06-Aug-2021,Computational Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=440556
54th Annual Meeting of the Societas Linguistica Europaea (SLE 2021),https://societaslinguistica.eu/meetings/,Athens,False,31-Aug-2021,03-Sep-2021,General Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=383276
5th American International Morphology Meeting,https://www.ling.ohio-state.edu/AIMM5/index.html,"Columbus, OH (Online)",True,26-Aug-2021,29-Aug-2021,Linguistic Theories; Morphology ,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=424256
7th International Language Management Symposium: Standardization as Language Management (ILMS 7),https://lms.ffzg.unizg.hr/,Zagreb and Online,True,30-Aug-2021,31-Aug-2021,Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=445256
Approaches to implicature: Rational choice and/or exhaustification,https://sites.google.com/view/approachestoimplicature/,Bolzano,False,09-Aug-2021,13-Aug-2021,Pragmatics; Psycholinguistics; Semantics ,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448696
Automatic Spoken Language Translation in Real-World Settings,https://cai.uni-mainz.de/asltrw/,Orlando,False,16-Aug-2021,20-Aug-2021,Computational Linguistics; Translation,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444036
Challenges and Applications of Automated Extraction of Socio-political Events from Text @ACL-IJCNLP (CASE),https://emw.ku.edu.tr/case-2021/,Bangkok (Online),True,05-Aug-2021,06-Aug-2021,Computational Linguistics; General Linguistics; Language Documentation; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=436356
ConLAUNA VIRTUAL 2021 (ConLAUNA),https://www.srb.una.ac.cr/index.php/es/conlauna,"Perez Zeledon, San Jose (Virtual)",True,25-Aug-2021,27-Aug-2021,Applied Linguistics; Language Acquisition ,English ,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=442016
Continuative and contrastive discourse relations across discourse domains: Cognitive and cross-linguistic approaches,,,,,,Discourse Analysis,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=427916
Continuative and contrastive discourse relations across discourse domains: Cognitive and cross-linguistic approaches,,,,,,Discourse Analysis,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=428556
Danish and German as European neighbour languages: An international conference on language contact in border zones and multilingual cities,https://engerom.ku.dk/english/calendar/danish-and-german-as-european-neighbour-languages/,University of Copenhagen,False,24-Aug-2021,25-Aug-2021,Sociolinguistics ,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448476
Disfluency in Spontaneous Speech (DiSS),http://diss2021.fr/,Université Paris 8 Vincennes - Saint-Denis,False,26-Aug-2021,27-Aug-2021,Applied Linguistics; Neurolinguistics; Psycholinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=429396
Enhancing Collaborative and Interdisciplinary Research on Languages in Eastern Africa (LAEA 2),http://www.thelaea.org,Eldoret,False,12-Aug-2021,13-Aug-2021,Applied Linguistics; General Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=441036
Experimental approaches to language universals in structure and meaning (ExUni2021),http://www.syncog.ppls.ed.ac.uk/ESSLLI/index.html,Online,True,02-Aug-2021,03-Aug-2021,Cognitive Science; Language Acquisition; Psycholinguistics; Semantics; Syntax,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444296
